Company,Description,Job,Location,Salary,Company Categories,Job Type,Job Title
Hasson Associates,"The responsibilities include working with online datasets, managing social listening projects and working with teams to create analysis on conversation and…",Online Research Data Analyst,London,30500,recruiter,nan,data analyst
STEM Graduates,"As Data Science soars in growth and popularity and the amount of data we produce increases daily, organisations are realising the true impact, value and risk of…",Business Data Analyst,London,40000,recruiter,nan,data analyst
Pareto Law,Effectively evaluate and analyse data.Ensure that company data is record accurately and is correct.Work as part of a team to evaluate and analyse key data…,Data Analyst,London,34000,law,nan,data analyst
Talenting,They are looking at how they can really eke out a real competitive advantage in the consumer banking market by looking at their data differently and by…,Data Scientist - Fintech,London,57500,recruiter,nan,data scientist
Source,"Data Studio + other data visualisation tools along with experience of pulling data from various sources, not just from Google.",Senior Data Analyst,London,45000,recruiter,upper,data analyst
SSC,Data scientist: 3 years (Required).Analyzing large amounts of data and building data driven models.Assisting customers in solving business related problems…,Data Scientist,London,70000,recruiter,nan,data scientist
Client Server,The core product allows business users to capture data via integrated mobile services utilising video analytics and speech recognition to analyse and categorise…,Data Scientist Python,London,72500,recruiter,nan,data scientist
Harnham,"Ideally you will have experience analysing customer, transactional and/or online data.You will work on advanced data science products, help the C-Suite…",Product Data Scientist- Remote Working,London,55000,recruiter,nan,data scientist
Taylor James Resourcing,"Make changes to static data were appropriate.To ensure that the static data is well maintained, accurate and useful.",Graduate MI and Data Analyst,London,29000,recruiter,entry,data analyst
Ampersand Consulting,"My client, a wicked AI start-up are looking for a Data Scientist (NLP, Python, R, Linguistics) to be part of a face paced Data Science and AI team located in…","Data Scientist (NLP, Python, R, Linguistics)",London,70000,consult,nan,data scientist
Cornwaliis Elt,Knowledge of common master data management (MDM) architectures and ETL methods.Expertise in SQL (Structured Query Language) to analyse data held in complex…,Technical Data Analyst,London,80000,recruiter,nan,data analyst
Harrison Holgate,Understanding of data structures from core broking systems (OpenTWINS).Be able to interpret data in order to draw conclusions for managerial action and…,Data Analyst,London,60000,recruiter,nan,data analyst
Ricci Recruitment Ltd,"Working across underwriting data you will be reviewing and providing accurate analysis of Binder and Lineslip Business.Job Types: Full-time, Contract.",Insurance Data Analyst,London,27500,recruiter,nan,data analyst
Client Server,"Strong technical knowledge of data models, database design development, data mining and segmentation techniques.",Data Analyst SQL SPSS SAS,London,55000,recruiter,nan,data analyst
Harnham,Experience working with large data sets and delivering recommendations off the back of insights found.They are one of the UK's leafing media and entertainment…,Data Analyst,London,37500,recruiter,nan,data analyst
Langley James IT Recruitment,Pricing data requests via customer enquiries and producing reports as a result.This is to cover sickness and will be initially for a period of 8 weeks with the…,Data Analyst; SSRS,London,48000,recruiter,nan,data analyst
McGregor Boyall,"Strong ability to analyse data and derive insights.Strong ability to analyse data and derive insights.Data Analysis, Consulting, Big Data, Problem Solving,…",Data Analyst,London,35000,recruiter,nan,data analyst
La Fosse Associates,"A Data Analyst who has an understanding of the end to end delivery of data (e.g. data quality, data warehouses, reporting).",Data Analyst,London,50000,tech,nan,data analyst
Harnham,"Apply your expertise in quantitative analysis, data mining, and the presentation of data to understand fraud and how to prevent it.",Fraud Data Scientist,London,77500,recruiter,nan,data scientist
Morgan Hunt Group,Previous experience dealing with large data sets.Ability to extract data using report writing software ideally SQL.KPI's across the organisation.,Performance Data Analyst,London,38000,recruiter,nan,data analyst
Hasson Associates,"As a marketing scientist, you will assist with research design and be responsible for analysing data from a range of sources including survey, social media,…",Junior Data Scientist – Marketing Mix Modelling,London,35000,recruiter,entry,data scientist
GCS Recruitment Specialists Ltd,"Experience with working on large data sets and data preprocessing/wrangling.The brightest in the industry, location not being a factor they have gathered great…",Remote or Cambridge Based Role - Data Scientist / Machine Le...,London,52500,recruiter,nan,data scientist
Harnham,You will also work closely with sales and marketing teams from a non-technical background to help them make better sense of data.,Data Analytics Consultant,London,55000,recruiter,nan,data analyst
Explore Group,"Experience of visualising data, using either tools or scripts.Strong Analytical Skills with a good understanding of statistics and data analysis.",Data Scientist - London - DOE £45k,London,37500,recruiter,nan,data scientist
Taylor James Resourcing,"Develop and manage data transformation scripts used for various client data.Determining, monitoring and reporting the quality of client data.",Data Analyst - Reinsurance Market Math//Numerical grad,London,26500,recruiter,nan,data analyst
Client Server,Data Scientist (python machine learning sql time series nlp).As a senior Data Scientist you will develop and test Machine Learning / Deep Learning…,Data Scientist - Trading,London,92500,recruiter,nan,data scientist
Oho Group,"Your role as a data scientist will be to work closely with quantitative researchers to draw insight from post-trade analysis, cost-efficiency and to give quants…",Data Scientist,London,70000,recruiter,nan,data scientist
The Green Recruitment Company,"Experience of managing data science and analysis within a data-intensive environments (energy, tech, finance).Experience working with time-series data.",Senior Data Scientist,London,90000,recruiter,upper,data scientist
Consortia,"The role will be to build sophisticated machine learning models around audience modelling, behaviour analysis and optimisation models to name a few.",Data Scientist,London,80000,recruiter,nan,data scientist
Adatis,"Ideally, degree educated - computer science, data analysis etc.You will get time to spend on R&D, the latest technologies and training from some of the best in…",Senior Data Consultant,London,58000,consult,upper,consultant
Ignite Trust,Turning project requirements into custom formatted data reports.Use statistical methods to analyse data and generate reports.Keep abreast of GDPR legislation.,Performance Data Analyst,London,25000,education,nan,data analyst
Bank of England,Advanced Analytics exists to help the Bank make creative use of new data sources and methodologies to promote the public good.,Principal Data Scientist,London,72400,finance,nan,data scientist
Inspiring Interns,These will protect the integrity of the promotion and help to reduce fraud and consumer issues.Where necessary we will obtain the necessary Government…,Data Analyst,London,22000,recruiter,nan,data analyst
Leadsearch Ltd,"You will be responsible for client research, analysis, modelling and preparation of documentation to aid sales.Good interpersonal and communication skills.","Financial Data Analyst, FinTech - Credit Analysis, Modelling...",London,40000,recruiter,nan,data analyst
Bettor Believe,"Automating data tasks where possible: data generation, acquisition, storage and manipulation.Skilled in analysing and interpreting complex quantitative data.",Data Scientist - Sports Analysis,London,45000,recruiter,nan,data scientist
Hasson Associates,Here you will work with some of the world’s biggest brands to measure and supercharge their marketing communications by using the latest technologies and…,Data Analyst – Statistics – Innovative Consultancy!,London,45000,recruiter,nan,data analyst
Harnham,Joining a growing team responsible for introducing data science and machine learning insights to their products.,Product Data Scientist,London,67500,recruiter,nan,data scientist
Talenting,This could include developing data-driven solutions around product development for a bank or customer behaviour and segmentation for a retail business.,Lead Data Scientist,London,85000,recruiter,upper,data scientist
onezeero,"As a Data Analyst, you'll be a good SQL and Tableau user, having used these tools in previous data analysis roles.",Data Analyst,London,42500,recruiter,nan,data analyst
Oscar Technology,Perform data mining to take unstructured data and use it to identify trends and patterns.Transform data into actionable insights that will spark new ideas and…,Data Scientist,London,60000,tech,nan,data scientist
MW Appointments,"Suitable candidates for this position will be required to have a Minimum of 1 year data analyst experience (ideally within Insurance broking) , knowledge of BI…",BI - Data Analyst,London,35000,recruiter,nan,business analyst
Digital Risks,"Database design, data structure and ETL - advantage.Use of modern data collection tools like Segment, eventstore.com.BS in Computer Science or similar.",Data Analyst,London,45000,tech,nan,data analyst
Deerfoot,"The successful candidate will be an integral part of key stakeholder and user engagement, and work closely with ETL, data migrations, data quality, data…",Data Analyst,London,62500,recruiter,nan,data analyst
Deerfoot,"The successful candidate will be an integral part of key stakeholder and user engagement, and work closely with ETL, data migrations, data quality, data…",MDM Data Analyst,London,75000,recruiter,nan,data analyst
Chi Square Analytics,A leading online and mobile gaming company are looking to expand their data science team due to growing demand in data science services and are seeking an…,Data Scientist,London,55000,recruiter,nan,data scientist
Ampersand Consulting,"Experience with the application of data science and machine learning algorithms, including structured, unstructured, or relational and data mining and machine…",Chief Data Scientist,London,120000,consult,nan,data scientist
Red10,"This is a business facing role which defines the data needs within data structures, dictionary and design.Strong understanding of data patterns.",Data Analyst Designer,London,99000,recruiter,nan,data analyst
GCS Recruitment Specialists Ltd,"Knowledge of quantitative analysis, data mining and performance marketing.Familiarity with Google suite of data & Facebook group ads.",Data Analyst / Growth / Start-up,London,45000,recruiter,nan,data analyst
GCS Recruitment Specialists Ltd,"Experience with working on large data sets and data preprocessing/wrangling.The brightest in the industry, location not being a factor they have gathered great…",Remote or Cambridge Based - Data Scientist / Machine Learnin...,London,45000,recruiter,nan,data scientist
Harnham,"Familiarity with big data frameworks.Support the fraud team with data-driven research on key initiatives and challenges.UP TO £75,000 + BENEFITS.",Data Science - Fraud Analytics,London,62500,recruiter,nan,data scientist
Warner Scott,"Help clients understand their data (where it is, how they access it) and develop end to end data discovery workflows that meet their needs.",Forensic Data Analyst,London,35000,recruiter,nan,data analyst
Client Server,"Strong experience with data analysis, data modelling (Kimball) and governance, with excellent analytical and problem solving abilities.",Data Analyst - SQL Python Cloud ETL,London,85000,recruiter,nan,data analyst
Cobalt Recruitment,You will have previous experience within real estate in a data analyst capacity.Produce data reports of a high quality.,Data Analyst - Fixed Term Contract,London,50000,recruiter,nan,data analyst
Harrison Holgate,Minimum of 1 year data analyst experience (ideally within insurance broking).Ability to critically evaluate data and demonstrate problem solving skills.,BI Data Analyst,London,40000,recruiter,nan,business analyst
Sentinel,"Deep analytical understanding of numbers and data in a high-growth company.Comfortable processing and exploring data using SQL, Excel and scripting in…",Senior Data Analyst (Looker/Big Query/Stitch),London,57500,recruiter,upper,business analyst
Taylor James Resourcing,"Candidates must be creative and have a real passion for data analysis and data quality.In addition, the individual will use their technical skills in a wide…",VBA (some Python) Data Analyst - Financial Trading Markets -,London,45000,recruiter,nan,data analyst
Harnham,You will lead teams and provide training to junior data scientists.Extensive proven commercial experience in a data science position is essential.,Senior Data Scientist - Remote Working,London,75000,recruiter,upper,data scientist
MB Fitzgerald,Reviewing and assessing data quality and assisting in the production of reports.This role would suit a 2nd Jobber who has gained around 2yrs experience in a…,Insurance Data Analyst,London,37500,recruiter,nan,data analyst
Harnham,"Building data-driven and AI products for the business.Experience of working with large volumes of data.There is lots of investment going into the team, with…",Data Scientist - NLP,London,85000,recruiter,nan,data scientist
NP Group,"At least 2 years' experience with Machine Learning (tensorflow, Keras, OpenCV, SKLearn).Extensive knowledge of Deep Learning, Neural Networks (CNN).",Data Scientist - Computer Vision,London,57500,recruiter,nan,data scientist
Harnham,"A passion for data, and using data to uncover insights and solve challenging business problems.Customer behaviour and marketing algorithms.",Data Scientist - Global Big Data Lab,London,87500,recruiter,nan,data scientist
Stanton House,Mentor and coach junior data scientists in best approaches to optimisation problems.Promote data science across the company and the external Data Science…,Senior Data Scientist,London,62500,recruiter,upper,data scientist
Think IT Recruitment Limted,"As a Data Migration Analyst, you will extract data from various 3rd party solutions from formats such as Access, Excel, Filemaker and SQL and you will support…",Data Migration Analyst,London,29000,recruiter,nan,analyst (other)
MBN Recruitment Solutions,MBN’s client a leading Gaming business are in search of a Promotions Data Analyst to join their established Marketing Analytics team.,Promotions Analyst,London,40000,recruiter,nan,analyst (other)
Bodhi Resourcing,"As the Chief Data Scientist, you will be defining the approach, standards, road map and overall strategy of the team expansion to ensure their customer…",Chief Data Scientist,London,155000,recruiter,nan,data scientist
The Green Recruitment Company,"Experience of managing data science and analysis within a data-intensive environment.Build, validate and update complex data science models.",Data Scientist,London,75000,recruiter,nan,data scientist
Mana Search,Confident in data wrangling/ cleaning in a data frame package.They want to bring in a data science obsessed individual who is looking to kick start/ further…,Data Scientist,London,42500,recruiter,nan,data scientist
Harnham,They want someone with excellent experience in recommendation systems to come in and hit the ground running with the overall aim of improving customer targeting…,Senior Data Scientist - Home Working,London,75000,recruiter,upper,data scientist
Morgan Spencer,Minimum of 1 year data analyst experience (ideally within insurance broking).Ensuring data synchronisation is being performed successfully along with data…,BI Data Analyst,London,35000,recruiter,nan,business analyst
Michael Page UK,Must have a strong understanding of asset & compliance data bases.Cross check compliance data provided by our managing agents and producing compliance reports.,Asset and Compliance Data Analyst,London,41500,recruiter,nan,data analyst
Capita IT Resourcing,"We are looking for a data analyst to join an innovative software business within the finance industry, based in Staines upon Thames.",Data analyst,London,37500,recruiter,nan,data analyst
PRS for Music,"Have detailed knowledge of relevant data file formats and ability to interrogate data in such files, you will have professional work experience in data science,…",Analyst - Centre of Excellence Team,London,29500,recruiter,nan,analyst (other)
Blu Digital,"You will have the ability to work from home and then be based in either office for meetings.You will have experience using Google Analytics and tableau,…",Data Analyst - Professional Services,London,55000,tech,nan,data analyst
Inspiring Interns,"Create the data storage architecture.They’re a highly focused team built up of Mathematicians, Statisticians and Computer Scientists at the top of their field,…",Junior Python Data Engineer/Scientist,London,35000,recruiter,entry,engineer
Harnham,"In this Digital Data Analyst role, you will take the lead as the web analytics SME, working with data scientists to stitch together disparate data sets to build…",Digital Data Analyst,London,55000,recruiter,nan,data analyst
Harnham,"Ideally you will have experience analysing customer, transactional and/or online data.You will work cross functionally with a range of teams across the…",Marketing Data Analyst,London,42500,recruiter,nan,data analyst
McGregor Boyall,"The ideal candidate will play a key part within the data analysis using SQL, BI & Statistical tools against the companies Data Warehouse and Data Quality…",Data Quality Analyst,London,55000,recruiter,nan,analyst (other)
Lawrence Harvey,The Principle Data Scientist will join a new Advanced Analytics Practice in hyper growth focused on working with Enterprise level companies across industry…,"Principle Data Scientist - London - £110,000 + Benefits + Bo...",London,100000,law,nan,data scientist
Aspire Data Recruitment,Work with various department leads to understand their requirements & data sources and come up with data visualisation solutions.,"Senior Data Analyst, Tableau",London,42500,recruiter,upper,data analyst
Metrica Recruitment,"The purpose of this role is to uncover hidden stories in data-sets, derive insights and structure the results into a format easily understood by all…",Statistical Data Analyst,London,32500,recruiter,nan,data analyst
Taylor James Resourcing,Quarterly operational data update with commentarie.Provide support to deal officers on data management related issue.Prepare half yearly Deal Expenses report.,Investment Data Analyst (VBA / SQL),London,47500,recruiter,nan,data analyst
kdr Recruitment,Use your natural problem solving and analytical skills to produce high quality data solutions and deliverables.,Data Consultant – London,London,70000,recruiter,nan,consultant
Harnham US,"Apply ML techniques to alternative data sources to identify insightful investment opportunities.£50,000 - £80,000 Salary + Huge Bonus and Pension.",Data Scientist,London,65000,recruiter,nan,data scientist
Oliver James Associates,Setup and maintain automated data processes.Experience with data visualisation/ reporting tools - Power BI is an advantage but you will be offered training.,"Data & BI Analyst (Oracle, PL/SQL, PowerBI) - Central London",London,35000,recruiter,nan,business analyst
Harnham,"You will use SQL to code and query the data.Ideally you will have experience analysing customer, transactional and/or online data.",Senior Customer Data Analyst,London,45000,recruiter,upper,data analyst
Harnham,"Proven commercial experience in a data science position, deploying deep learning algorithms into production.UP TO £90,000 + UNLIMITED HOLIDAYS + OTHER BENEFITS…",Senior NLP Data Scientist,London,80000,recruiter,upper,data scientist
Page Personnel - UK,Experience of being the go-to data person within a team or department.This includes all business processes where Asset Management and Compliant data is…,Asset and Compliance Data Analyst,London,37500,recruiter,nan,data analyst
Explore Group,"Ideally, they are looking for a Data Analyst to join a team of data engineers and help to build data checks, validations and implement new logic.",Data Analyst - London - 50k,London,45000,recruiter,nan,data analyst
NP Group,"We're taking on some challenging problems using including Cat modelling to predict losses due to disasters using historical data, from natural disasters, fraud…",NLP Scientist,London,67500,recruiter,nan,other
JohnsonBIM (MJ3927),"A potentially life changing career move - joining a highly successful, established, digital construction consultancy as they start a new data centric technology…",Data Scientist,London,45000,recruiter,nan,data scientist
MW Recruitment,"Ensuring managing the use of IT systems and of data, particularly personal data, in accordance with the Joint IT Security Policy.",Credit Data Analyst,London,55000,recruiter,nan,data analyst
Mason Blake,Liaise with IT to develop and enhance technical tools including steering the development of the analytics data warehouse for enterprise data.,Data Scientist – Asset Management,London,52500,recruiter,upper,data scientist
Moonshot CVE Ltd,"At least five years experience in data analysis, data visualisation, business intelligence or similar role.Experience teaching and training analysts on how to…",Data Scientist,London,60000,tech,nan,data scientist
Understanding Recruitment,"Experience of working with large volumes of data (Digital).As the Insight Analyst you will play an important role in the implementation of Faststats, reporting…",Insight Analyst,London,38750,recruiter,nan,data analyst
Taylor James Resourcing,Develop and manage data transformation scripts used for various client data.First point of contact for all data issues.,Data Analyst with VBA- Insurance Market,London,26500,recruiter,nan,data analyst
Datatech Analytics,Possess several years’ experience as a data analyst.Hands on experience of working with different data types.Good working knowledge of SAS essential.,Data Analytics Consultant,London,55000,tech,nan,data analyst
Harnham,The role of Computer Vision Data Scientist will require you to work with large volumes of big data and build end-to-end machine learning models that will impact…,Computer Vision Data Scientist,London,67500,recruiter,nan,data scientist
Client Server,Imagine yourself working on complex and intellectually stimulating systems for a technology driven Hedge Fund; using your data analysis skills for betting on…,Data Analyst - Python Machine Learning,London,75000,recruiter,nan,data analyst
Harnham,A leading data science function in London are seeking a new Marketing Data Scientist.You will work on advanced analytics and data science projects for them and…,Marketing Data Scientist,London,37500,recruiter,nan,data scientist
Langley James IT Recruitment,Make sure data sources are quality checked.Work as part of a team to understand the current data models of the business.Report back findings to stakeholders.,"Junior Data Analyst, Hersham, SQL, Power BI",London,25000,recruiter,entry,business analyst
Lifeways,Support consolidation and cleanse of the Group’s property data and propose processes for maintaining data integrity.Degree level or equivalent experience.,Business Data Analyst,London,55000,healthcare,nan,data analyst
Metrica Recruitment,"3 years' experience or more, applying statistics and data science within CRM and marketing.In the role, you will be using SQL, Python and R, as well as cloud…",Customer Data Scientist,London,47500,recruiter,nan,data scientist
Oscar Technology,Define the data strategy and process right from data exploration to building models and productionising it.Identify data sources from various channels across…,Lead Data Scientist,London,75000,tech,upper,data scientist
Consortia,"Attracting and recruiting very capable data scientists and data engineers, and line management and capability development of the team, including twice-yearly…",Data Science Director,London,152500,recruiter,nan,data scientist
Research Grid Ltd,Collaborate with a team of software engineers and data scientists.Plan and manage data projects.Ensure data quality and integrity.,Machine Learning Engineer,London,41400,education,nan,engineer
Hasson Associates,"Enjoy working with code (R, Python, Tableau or similar), to analyse data.Are confident in all aspects of surveys and research design.",Senior Data Analyst,London,32000,recruiter,upper,data analyst
Aspire Data Recruitment,Advanced knowledge of SQL with hands-on experience of developing tables that feed into data visualization tools.Advanced knowledge of MS Excel.,Data Analyst – Product Analytics & Reporting,London,45000,recruiter,nan,data analyst
3Search,Working closely with a wide range of stakeholders to provide pro-active insights and recommendations Regular meetings with editors to ensure they are aware of…,SENIOR DATA ANALYST,London,43500,recruiter,upper,data analyst
Callsign,"Strong data analysis skills with SQL knowledge, scripting, data integration with multiple datasources, reporting and automation.",Jira Administrator/Data Analyst,London,47500,tech,nan,data analyst
McGregor Boyall,"Acquiring data from multiple sources – filtering, cleaning and wrapping the data.Acquiring data from multiple sources – filtering, cleaning and wrapping the…",Data Scientist,London,45000,recruiter,nan,data scientist
Harnham,"Experience of working with large volumes of data.Research, exploring data sets and carrying out proof of concept work.",Data Scientist - Applied Machine Learning,London,70000,recruiter,nan,data scientist
Harnham,A leading global management consultancy are seeking experienced Data Scientists to join their Financial Crime Technology team in market leading projects for…,Financial Crime Data Scientist,London,61500,recruiter,nan,data scientist
Taylor James Resourcing,"Prepare data for loading to the Company’s data warehouse, including providing assistance to technician colleagues, developing source to target data mapping…",Financial Reporting Data Analyst (Solvency 11 knowledge),London,50000,recruiter,nan,data analyst
Woolf Group,"Be capable and confident in tackling the most complex data-driven and analytical problems.A commercially focused mind-set, with a passion for using data to…",Data Scientist,London,80000,recruiter,nan,data scientist
Harnham,"You will use Python, R and other data science tools to programme and extract useful information from data sources.£95,000 - 100,000 + BENEFITS + BONUS.",Quantitative Researcher/ Data Strategist - Remote Working,London,97500,recruiter,nan,strategy
Harnham,"Using SQL to extract data.With the amazing opportunity to use SQL, Power BI and gain exposure to Python as well as involvement interacting with stakeholders,…",Business Data Analyst,London,45000,recruiter,nan,data analyst
Sentinel,"Using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating…",Data Scientist,London,70000,recruiter,nan,data scientist
Venturi,"As a data scientist ( Python / R / SQL ) you will be expected to be able to select features, building and optimizing models using statistical analysis for…",Data Scientist,London,90000,recruiter,nan,data scientist
Ampersand Consulting,Provide guidance and direction for the data analyst.Minimum 5 years of experience in Data & Analytics Projects working ideally as a data consultant.,"Data Analytics Consultant (AWS, Kafka, BI)",London,62500,consult,nan,business analyst
Harnham,Experience in building data science and machine learning-led products in a commercial environment.Using data science to help the company scale and bring on…,Data Scientist - APP,London,82500,recruiter,nan,data scientist
Harnham,Work within a fast-paced environment to provide actionable insight to develop the customer growth strategy.Take full ownership and leading the analytics across…,Senior Data Analyst,London,55000,recruiter,upper,data analyst
Ampersand Consulting,"Work with and manipulate data, develop data science and machine learning algorithms and solutions.Experience with the application of data science and machine…","Chief Data Scientist (AI, Data Science)",London,115000,consult,nan,data scientist
Harnham,"Apply Machine Learning and Decision Science techniques to big financial data-sets to build conclusions on consumers.Up to £80,000 salary.",Data Scientist - Credit Decisioning,London,60000,recruiter,nan,data scientist
Blue Pelican,"If it’s technology that excites, you, this business has recently invested in Snowflake (a cutting-edge cloud based data warehousing solution), and operate a…",Junior Insight Analyst,London,25000,recruiter,entry,data analyst
Catsurveys,"This will be a key role for providing high quality survey data, reporting and provide support to the field teams.Follow Health and Safety reporting guidelines.",GPR Analyst,London,28500,tech,nan,analyst (other)
Aspire Data Recruitment,"As well as technical experience with some of the core Python data science libraries (scikit-learn, Numpy/Scipy, pandas, matplotlib, Jupyter notebooks), you will…",Data Scientist,London,55000,recruiter,nan,data scientist
Harnham,"Driving/implementing data science methodology for the business, taking an innovative and data-driven approach.Experience using R and Python.",Data Scientist - Customer Insight,London,62500,recruiter,nan,data scientist
Eversearch,"Proficient to large scale data manipulation and good data 'housekeeping' (i.e. Data optimisation, Clean Data / Data applicability, qualification of Data sources…",Data Scientist - Surveillance Analytics,London,75000,recruiter,nan,data scientist
Blue Pelican,"If it’s technology that excites, you, this business has recently invested in Snowflake (a cutting-edge cloud based data warehousing solution), and operate a…",Customer Analyst,London,36500,recruiter,nan,analyst (other)
Consortia,"Attracting and recruiting very capable data scientists and data engineers, and line management and capability development of the team, including twice-yearly…",Head of Data Science,London,110000,recruiter,upper,data scientist
Oscar Technology,"Creating out of the box and unique data science solutions using your technical skills.On a day to day, you will work along side other Data professionals on…",Senior Data Scientist,London,87500,tech,upper,data scientist
kdr Recruitment,"Working with real-time data.Ability to work with ‘messy’ data.A strong grasp of data science skills and techniques.Programming language i.e. Python, R.",Senior Data Scientist – London,London,90000,recruiter,upper,data scientist
Aspire Data Recruitment,Work with various department leads to understand their requirements & data sources and come up with data visualisation solutions.,Senior Data Insight Analyst,London,40000,recruiter,upper,data analyst
MBN Solutions,"Experience using data to aid key business decisions?Use data to advise best practice for a wide range of marketing campaigns.Job Types: Full-time, Permanent.",Customer Analyst,London,42000,recruiter,nan,analyst (other)
Inspiring Interns,Modeling data and creating a data mart / warehouse.Using Microsoft / Amazon / Google data platforms and services to build cloud data solutions.,Data Scientist,London,25000,recruiter,nan,data scientist
Harnham,"You will work on a range of projects across digital and marketing, using your knowledge of machine learning to help build high-impact products for the business.",Data Science Analyst,London,65000,recruiter,nan,data scientist
Harnham,They've recently hired a Chief Data Officer who sits on the board so they have full backing from C level and are currently setting up a centralised Machine…,Lead Data Scientist - Remote Working,London,102500,recruiter,upper,data scientist
Michael Page UK,You should be able to guide stakeholders in both their use of big data and statistical analysis while supporting both them and the company on their data…,Forecasting Data Scientist,London,70000,recruiter,nan,data scientist
Harnham US,"Excellent communication and interpersonal skills and experience working in a data-driven team.UP TO £90,000 + BENEFITS.",Senior Fraud Data Scientist,London,85000,recruiter,upper,data scientist
Red10,Experience of ESG market data providers.Experience of reading and understanding market data vendor contracts.,Market Data Analyst – Asset Management,London,55000,recruiter,upper,data analyst
